Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
konzedieren,konzediere,konzedierst,konzediert,konzedierte,konzediert,konzedierte,konzediere,konzediert,haben
bereitstellen,stelle bereit,stellst bereit,stellt bereit,stellte bereit,bereitgestellt,stellte bereit,stelle bereit,stellt bereit,haben
derogieren,derogiere,derogierst,derogiert,derogierte,derogiert,derogierte,derogiere,derogiert,haben
gebrechen,—,—,gebricht,gebrach,gebrochen,gebräche,—,—,haben
kuschen,kusche,kuschst,kuscht,kuschte,gekuscht,kuschte,kusch,kuscht,haben
sagen,sage,sagst,sagt,sagte,gesagt,sagte,sag,sagt,haben
korrigieren,korrigiere,korrigierst,korrigiert,korrigierte,korrigiert,korrigierte,korrigiere,korrigiert,haben
dünken,dünke,dünkst,dünkt,dünkte,gedünkt,dünkte,dünke,dünkt,haben
resorbieren,resorbiere,resorbierst,resorbiert,resorbierte,resorbiert,resorbierte,resorbiere,resorbiert,haben
kacken,kacke,kackst,kackt,kackte,gekackt,kackte,kack,kackt,haben
akquirieren,akquiriere,akquirierst,akquiriert,akquirierte,akquiriert,akquirierte,akquiriere,akquiriert,haben
triggern,triggere,triggerst,triggert,triggerte,getriggert,triggerte,trigger,triggert,haben
internalisieren,internalisiere,internalisierst,internalisiert,internalisierte,internalisiert,internalisierte,internalisiere,internalisiert,haben
usurpieren,usurpiere,usurpierst,usurpiert,usurpierte,usurpiert,usurpierte,usurpier,usurpiert,haben
vermasseln,vermassele,vermasselst,vermasselt,vermasselte,vermasselt,vermasselte,vermassele,vermasselt,haben
loben,lobe,lobst,lobt,lobte,gelobt,lobte,lobe,lobt,haben
tadeln,tadele,tadelst,tadelt,tadelte,getadelt,tadelte,tadele,tadelt,haben
riechen,rieche,riechst,riecht,roch,gerochen,röche,rieche,riecht,haben
schmecken,schmecke,schmeckst,schmeckt,schmeckte,geschmeckt,schmeckte,schmecke,schmeckt,haben
singen,singe,singst,singt,sang,gesungen,sänge,singe,singt,haben
bringen,bringe,bringst,bringt,brachte,gebracht,brächte,bring,bringt,haben
schimpfen,schimpfe,schimpfst,schimpft,schimpfte,geschimpft,schimpfte,schimpf,schimpft,haben
tragen,trage,trägst,trägt,trug,getragen,trüge,trag,tragt,haben
epilieren,epiliere,epilierst,epiliert,epilierte,epiliert,epilierte,epiliere,epiliert,haben
kooptieren,kooptiere,kooptierst,kooptiert,kooptierte,kooptiert,kooptierte,kooptiere,kooptiert,haben
vorstellen,stelle vor,stellst vor,stellt vor,stellte vor,vorgestellt,stellte vor,stell vor,stellt vor,haben
verschallen,verschalle,verschallst,verschallt,verscholl,verschollen,verschölle,verschalle,verschallt,sein
widersprechen,widerspreche,widersprichst,widerspricht,widersprach,widersprochen,widerspräche,widersprich,widersprecht,haben
brennen,brenne,brennst,brennt,brannte,gebrannt,brennte,brenne,brennt,haben
dislozieren,disloziere,dislozierst,disloziert,dislozierte,disloziert,dislozierte,disloziere,disloziert,haben
subsumieren,subsumiere,subsumierst,subsumiert,subsumierte,subsumiert,subsumierte,subsumiere,subsumiert,haben
evozieren,evoziere,evozierst,evoziert,evozierte,evoziert,evozierte,evoziere,evoziert,haben
kennen,kenne,kennst,kennt,kannte,gekannt,kennte,kenne,kennt,haben
nageln,nagele,nagelst,nagelt,nagelte,genagelt,nagelte,nagele,nagelt,haben
befehlen,befehle,befiehlst,befiehlt,befahl,befohlen,befähle,befiehl,befehlt,haben
zapfen,zapfe,zapfst,zapft,zapfte,gezapft,zapfte,zapfe,zapft,haben
beginnen,beginne,beginnst,beginnt,begann,begonnen,begönne,beginn,beginnt,haben
profitieren,profitiere,profitierst,profitiert,profitierte,profitiert,profitierte,profitiere,profitiert,haben
revozieren,revoziere,revozierst,revoziert,revozierte,revoziert,revozierte,revoziere,revoziert,haben
konsolidieren,konsolidiere,konsolidierst,konsolidiert,konsolidierte,konsolidiert,konsolidierte,konsolidiere,konsolidiert,haben
bitten,bitte,bittest,bittet,bat,gebeten,bäte,bitte,bittet,haben
bewegen,bewege,bewegst,bewegt,bewegte,bewegt,bewegte,bewege,bewegt,haben
wenden,wende,wendest,wendet,wandte,gewandt,wendete,wende,wendet,haben
fahren,fahre,fährst,fährt,fuhr,gefahren,führe,fahr,fahrt,sein
betrügen,betrüge,betrügst,betrügt,betrog,betrogen,betröge,betrüge,betrügt,haben
halbieren,halbiere,halbierst,halbiert,halbierte,halbiert,halbierte,halbier,halbiert,haben
tun,tue,tust,tut,tat,getan,täte,tue,tut,haben
erfahren,erfahre,erfährst,erfährt,erfuhr,erfahren,erführe,erfahr,erfahrt,haben
hussen,husse,husst,husst,husste,gehusst,husste,husse,husst,haben
pennen,penne,pennst,pennt,pennte,gepennt,pennte,penne,pennt,haben
verwursten,verwurste,verwurstest,verwurstet,verwurstete,verwurstet,verwurstete,verwurst,verwurstet,haben
nivellieren,nivelliere,nivellierst,nivelliert,nivellierte,nivelliert,nivellierte,nivelliere,nivelliert,haben
sekkieren,sekkiere,sekkierst,sekkiert,sekkierte,sekkiert,sekkierte,sekkiere,sekkiert,haben
konservieren,konserviere,konservierst,konserviert,konservierte,konserviert,konservierte,konserviere,konserviert,haben
frequentieren,frequentiere,frequentierst,frequentiert,frequentierte,frequentiert,frequentierte,frequentiere,frequentiert,haben
irritieren,irritiere,irritierst,irritiert,irritierte,irritiert,irritierte,irritiere,irritiert,haben
blättern,blättere,blätterst,blättert,blätterte,geblättert,blätterte,blättere,blättert,haben
übertragen,übertrage,überträgst,überträgt,übertrug,übertragen,übertrüge,übertrag,übertragt,haben
versalzen,versalze,versalzt,versalzt,versalzte,versalzen,versalzte,versalze,versalzt,haben
bellen,belle,bellst,bellt,bellte,gebellt,bellte,bell,bellt,haben
abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,haben
purgieren,purgiere,purgierst,purgiert,purgierte,purgiert,purgierte,purgiere,purgiert,haben
detachieren,detachiere,detachierst,detachiert,detachierte,detachiert,detachierte,detachiere,detachiert,haben
niesen,niese,niest,niest,nieste,geniest,nieste,niese,niest,haben
herbringen,bringe her,bringst her,bringt her,brachte her,hergebracht,brächte her,bring her,bringt her,haben
verspüren,verspüre,verspürst,verspürt,verspürte,verspürt,verspürte,verspüre,verspürt,haben
leeren,leere,leerst,leert,leerte,geleert,leerte,leere,leert,haben
rüsten,rüste,rüstest,rüstet,rüstete,gerüstet,rüstete,rüste,rüstet,haben
rücken,rücke,rückst,rückt,rückte,gerückt,rückte,rücke,rückt,haben
konfligieren,konfligiere,konfligierst,konfligiert,konfligierte,konfligiert,konfligierte,konfligier,konfligiert,haben
verifizieren,verifiziere,verifizierst,verifiziert,verifizierte,verifiziert,verifizierte,verifiziere,verifiziert,haben
pofen,pofe,pofst,poft,pofte,gepoft,pofte,pofe,poft,haben
pissen,pisse,pisst,pisst,pisste,gepisst,pisste,pisse,pisst,haben
pinkeln,pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,haben
fechten,fechte,fichtst,ficht,focht,gefochten,föchte,ficht,fechtet,haben
attrahieren,attrahiere,attrahierst,attrahiert,attrahierte,attrahiert,attrahierte,attrahier,attrahiert,haben
eruieren,eruiere,eruierst,eruiert,eruierte,eruiert,eruierte,eruiere,eruiert,haben
addieren,addiere,addierst,addiert,addierte,addiert,addierte,addier,addiert,haben
behaupten,behaupte,behauptest,behauptet,behauptete,behauptet,behauptete,behaupte,behauptet,haben
zwingen,zwinge,zwingst,zwingt,zwang,gezwungen,zwänge,zwinge,zwingt,haben
diskreditieren,diskreditiere,diskreditierst,diskreditiert,diskreditierte,diskreditiert,diskreditierte,diskreditiere,diskreditiert,haben
messen,messe,misst,misst,maß,gemessen,mäße,miss,messt,haben
verzapfen,verzapfe,verzapfst,verzapft,verzapfte,verzapft,verzapfte,verzapf,verzapft,haben
rumhuren,hure rum,hurst rum,hurt rum,hurte rum,rumgehurt,hurte rum,hur rum,hurt rum,haben
indossieren,indossiere,indossierst,indossiert,indossierte,indossiert,indossierte,indossiere,indossiert,haben
robben,robbe,robbst,robbt,robbte,gerobbt,robbte,robb,robbt,sein
anziehen,ziehe an,ziehst an,zieht an,zog an,angezogen,zöge an,zieh an,zieht an,haben
kucken,kucke,kuckst,kuckt,kuckte,gekuckt,kuckte,kuck,kuckt,haben
verunglimpfen,verunglimpfe,verunglimpfst,verunglimpft,verunglimpfte,verunglimpft,verunglimpfte,verunglimpfe,verunglimpft,haben
erniedrigen,erniedrige,erniedrigst,erniedrigt,erniedrigte,erniedrigt,erniedrigte,erniedrige,erniedrigt,haben
fringsen,fringse,fringst,fringst,fringste,gefringst,fringste,fringse,fringst,haben
faulenzen,faulenze,faulenzt,faulenzt,faulenzte,gefaulenzt,faulenzte,faulenze,faulenzt,haben
tanzen,tanze,tanzt,tanzt,tanzte,getanzt,tanzte,tanze,tanzt,haben
glauben,glaube,glaubst,glaubt,glaubte,geglaubt,glaubte,glaub,glaubt,haben
mögen,mag,magst,mag,mochte,gemocht,möchte,—,—,haben
segeln,segle,segelst,segelt,segelte,gesegelt,segelte,segle,segelt,haben
gleiten,gleite,gleitest,gleitet,glitt,geglitten,glitte,gleit,gleitet,sein
schweben,schwebe,schwebst,schwebt,schwebte,geschwebt,schwebte,schweb,schwebt,sein
ankreuzen,kreuze an,kreuzt an,kreuzt an,kreuzte an,angekreuzt,kreuzte an,kreuz an,kreuzt an,haben
ausstrahlen,strahle aus,strahlst aus,strahlt aus,strahlte aus,ausgestrahlt,strahlte aus,strahl aus,strahlt aus,haben
speichern,speichere,speicherst,speichert,speicherte,gespeichert,speicherte,speichere,speichert,haben
umarmen,umarme,umarmst,umarmt,umarmte,umarmt,umarmte,umarm,umarmt,haben
betrachten,betrachte,betrachtest,betrachtet,betrachtete,betrachtet,betrachtete,betrachte,betrachtet,haben
formen,forme,formst,formt,formte,geformt,formte,form,formt,haben
holen,hole,holst,holt,holte,geholt,holte,hole,holt,haben
atmen,atme,atmest,atmet,atmete,geatmet,atmete,atme,atmet,haben
striegeln,striegele,striegelst,striegelt,striegelte,gestriegelt,striegelte,striegele,striegelt,haben
fühlen,fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,haben
rennen,renne,rennst,rennt,rannte,gerannt,rennte,renn,rennt,sein
schwimmen,schwimme,schwimmst,schwimmt,schwamm,geschwommen,schwömme,schwimm,schwimmt,sein
evakuieren,evakuiere,evakuierst,evakuiert,evakuierte,evakuiert,evakuierte,evakuiere,evakuiert,haben
schnökern,schnöker,schnökerst,schnökert,schnökerte,geschnökert,schnökerte,schnöker,schnökert,haben
erkundigen,erkundige,erkundigst,erkundigt,erkundigte,erkundigt,erkundigte,erkundige,erkundigt,haben
schlürfen,schlürfe,schlürfst,schlürft,schlürfte,geschlürft,schlürfte,schlürfe,schlürft,haben
schlurfen,schlurfe,schlurfst,schlurft,schlurfte,geschlurft,schlurfte,schlurfe,schlurft,sein
erkobern,erkobere,erkoberst,erkobert,erkoberte,erkobert,erkoberte,erkober,erkobert,haben
ankommen,komme an,kommst an,kommt an,kam an,angekommen,käme an,komm an,kommt an,sein
laden,lade,lädst,lädt,lud,geladen,lüde,lade,ladet,haben
rügen,rüge,rügst,rügt,rügte,gerügt,rügte,rüge,rügt,haben
wachsen,wachse,wächst,wächst,wuchs,gewachsen,wüchse,wachse,wachst,sein
waschen,wasche,wäschst,wäscht,wusch,gewaschen,wüsche,wasche,wascht,haben
baden,bade,badest,badet,badete,gebadet,badete,bade,badet,haben
allokieren,allokiere,allokierst,allokiert,allokierte,allokiert,allokierte,allokiere,allokiert,haben
regnen,—,—,regnet,regnete,geregnet,regnete,—,—,haben
hageln,—,—,hagelt,hagelte,gehagelt,hagelte,—,—,haben
betreffen,betreffe,betriffst,betrifft,betraf,betroffen,beträfe,betreffe,betrefft,haben
disponieren,disponiere,disponierst,disponiert,disponierte,disponiert,disponierte,disponiere,disponiert,haben
surfen,surfe,surfst,surft,surfte,gesurft,surfte,surfe,surft,haben
reiben,reibe,reibst,reibt,rieb,gerieben,riebe,reibe,reibt,haben
tauchen,tauche,tauchst,taucht,tauchte,getaucht,tauchte,tauche,taucht,sein
schlickern,schlickere,schlickerst,schlickert,schlickerte,geschlickert,schlickerte,schlickere,schlickert,haben
validieren,validiere,validierst,validiert,validierte,validiert,validierte,validier,validiert,haben
falsifizieren,falsifiziere,falsifizierst,falsifiziert,falsifizierte,falsifiziert,falsifizierte,falsifiziere,falsifiziert,haben
springen,springe,springst,springt,sprang,gesprungen,spränge,springe,springt,sein
prüfen,prüfe,prüfst,prüft,prüfte,geprüft,prüfte,prüf,prüft,haben
testen,teste,testest,testet,testete,getestet,testete,teste,testet,haben
überprüfen,überprüfe,überprüfst,überprüft,überprüfte,überprüft,überprüfte,überprüfe,überprüft,haben
abwracken,wracke ab,wrackst ab,wrackt ab,wrackte ab,abgewrackt,wrackte ab,wrack ab,wrackt ab,haben
umbrechen,breche um,brichst um,bricht um,brach um,umgebrochen,bräche um,brich um,brecht um,haben
kapitalisieren,kapitalisiere,kapitalisierst,kapitalisiert,kapitalisierte,kapitalisiert,kapitalisierte,kapitalisiere,kapitalisiert,haben
fretten,frette,frettest,frettet,frettete,gefrettet,frettete,frette,frettet,haben
kauen,kaue,kaust,kaut,kaute,gekaut,kaute,kaue,kaut,haben
mähen,mähe,mähst,mäht,mähte,gemäht,mähte,mähe,mäht,haben
blaken,blake,blakst,blakt,blakte,geblakt,blakte,blake,blakt,haben
unterfertigen,unterfertige,unterfertigst,unterfertigt,unterfertigte,unterfertigt,unterfertigte,unterfertig,unterfertigt,haben
fluchen,fluche,fluchst,flucht,fluchte,geflucht,fluchte,fluche,flucht,haben
überdenken,überdenke,überdenkst,überdenkt,überdachte,überdacht,überdächte,überdenke,überdenkt,haben
merken,merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,haben
werden,werde,wirst,wird,wurde,geworden,würde,werde,werdet,sein
abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,haben
abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,haben
erlegen,erlege,erlegst,erlegt,erlegte,erlegt,erlegte,erleg,erlegt,haben
wichsen,wichse,wichst,wichst,wichste,gewichst,wichste,wichse,wichst,haben
masturbieren,masturbiere,masturbierst,masturbiert,masturbierte,masturbiert,masturbierte,masturbiere,masturbiert,haben
abasten,aste ab,astest ab,astet ab,astete ab,abgeastet,astete ab,aste ab,astet ab,haben
abbiegen,biege ab,biegst ab,biegt ab,bog ab,abgebogen,böge ab,bieg ab,biegt ab,haben
abbilden,bilde ab,bildest ab,bildet ab,bildete ab,abgebildet,bildete ab,bild ab,bildet ab,haben
abbinden,binde ab,bindest ab,bindet ab,band ab,abgebunden,bände ab,bind ab,bindet ab,haben
abblenden,blende ab,blendest ab,blendet ab,blendete ab,abgeblendet,blendete ab,blende ab,blendet ab,haben
abblitzen,blitze ab,blitzt ab,blitzt ab,blitzte ab,abgeblitzt,blitzte ab,blitze ab,blitzt ab,sein
abblättern,blättre ab,blätterst ab,blättert ab,blätterte ab,abgeblättert,blätterte ab,blättre ab,blättert ab,sein
abbröckeln,bröckele ab,bröckelst ab,bröckelt ab,bröckelte ab,abgebröckelt,bröckelte ab,bröckele ab,bröckelt ab,haben
abbröseln,brösele ab,bröselst ab,bröselt ab,bröselte ab,abgebröselt,bröselte ab,brösele ab,bröselt ab,haben
abbrennen,brenne ab,brennst ab,brennt ab,brannte ab,abgebrannt,brennte ab,brenn ab,brennt ab,haben
abbringen,bringe ab,bringst ab,bringt ab,brachte ab,abgebracht,brächte ab,bring ab,bringt ab,haben
schmulen,schmule,schmulst,schmult,schmulte,geschmult,schmulte,schmul,schmult,haben
kiebitzen,kiebitze,kiebitzt,kiebitzt,kiebitzte,gekiebitzt,kiebitzte,kiebitz,kiebitzt,haben
abbuchen,buche ab,buchst ab,bucht ab,buchte ab,abgebucht,buchte ab,buch ab,bucht ab,haben
abchecken,checke ab,checkst ab,checkt ab,checkte ab,abgecheckt,checkte ab,check ab,checkt ab,haben
abdanken,danke ab,dankst ab,dankt ab,dankte ab,abgedankt,dankte ab,danke ab,dankt ab,haben
abdecken,decke ab,deckst ab,deckt ab,deckte ab,abgedeckt,deckte ab,deck ab,deckt ab,haben
werben,werbe,wirbst,wirbt,warb,geworben,würbe,wirb,werbt,haben
saften,safte,saftest,saftet,saftete,gesaftet,saftete,safte,saftet,haben
notieren,notiere,notierst,notiert,notierte,notiert,notierte,notiere,notiert,haben
zwitschern,zwitschere,zwitscherst,zwitschert,zwitscherte,gezwitschert,zwitscherte,zwitscher,zwitschert,haben
missachten,missachte,missachtest,missachtet,missachtete,missachtet,missachtete,missachte,missachtet,haben
aussehen,sehe aus,siehst aus,sieht aus,sah aus,ausgesehen,sähe aus,sieh aus,seht aus,haben
ausschauen,schaue aus,schaust aus,schaut aus,schaute aus,ausgeschaut,schaute aus,schau aus,schaut aus,haben
blaumachen,mache blau,machst blau,macht blau,machte blau,blaugemacht,machte blau,mach blau,macht blau,haben
kondizieren,kondiziere,kondizierst,kondiziert,kondizierte,kondiziert,kondizierte,kondiziere,kondiziert,haben
rigolen,rigole,rigolst,rigolt,rigolte,rigolt,rigolte,rigol,rigolt,haben
Vorlage:Formatvorlage (Verb),ziele,zielst,zielt,zielte,gezielt,zielte,ziel,zielt,haben
menscheln,—,—,menschelt,menschelte,gemenschelt,menschelte,—,—,haben
zergen,zerge,zergst,zergt,zergte,gezergt,zergte,zerg,zergt,haben
hecken,hecke,heckst,heckt,heckte,geheckt,heckte,heck,heckt,haben
zubuttern,buttere zu,butterst zu,buttert zu,butterte zu,zugebuttert,butterte zu,butter zu,buttert zu,haben
buttern,buttere,butterst,buttert,butterte,gebuttert,butterte,buttere,buttert,haben
schleichen,schleiche,schleichst,schleicht,schlich,geschlichen,schliche,schleiche,schleicht,sein
ausbaldowern,baldowere aus,baldowerst aus,baldowert aus,baldowerte aus,ausbaldowert,baldowerte aus,baldower aus,baldowert aus,haben
prosperieren,prosperiere,prosperierst,prosperiert,prosperierte,prosperiert,prosperierte,prosperiere,prosperiert,haben
ballern,ballere,ballerst,ballert,ballerte,geballert,ballerte,ballere,ballert,haben
sekundieren,sekundiere,sekundierst,sekundiert,sekundierte,sekundiert,sekundierte,sekundiere,sekundiert,haben
hudeln,hudle,hudelst,hudelt,hudelte,gehudelt,hudelte,hudle,hudelt,haben
bejahen,bejahe,bejahst,bejaht,bejahte,bejaht,bejahte,bejahe,bejaht,haben
imponieren,imponiere,imponierst,imponiert,imponierte,imponiert,imponierte,imponiere,imponiert,haben
emanzipieren,emanzipiere,emanzipierst,emanzipiert,emanzipierte,emanzipiert,emanzipierte,emanzipiere,emanzipiert,haben
konkatenieren,konkateniere,konkatenierst,konkateniert,konkatenierte,konkateniert,konkatenierte,konkatenier,konkateniert,haben
herumfuhrwerken,fuhrwerke herum,fuhrwerkst herum,fuhrwerkt herum,fuhrwerkte herum,herumgefuhrwerkt,fuhrwerkte herum,fuhrwerk herum,fuhrwerkt herum,haben
helfen,helfe,hilfst,hilft,half,geholfen,hülfe,hilf,helft,haben
abdrehen,drehe ab,drehst ab,dreht ab,drehte ab,abgedreht,drehte ab,dreh ab,dreht ab,haben
aufbrezeln,brezele auf,brezelst auf,brezelt auf,brezelte auf,aufgebrezelt,brezelte auf,brezele auf,brezelt auf,haben
sondern,sondere,sonderst,sondert,sonderte,gesondert,sonderte,sondere,sondert,haben
abonnieren,abonniere,abonnierst,abonniert,abonnierte,abonniert,abonnierte,abonniere,abonniert,haben
motzen,motze,motzt,motzt,motzte,gemotzt,motzte,motze,motzt,haben
loggen,logge,loggst,loggt,loggte,geloggt,loggte,logg,loggt,haben
teilen,teile,teilst,teilt,teilte,geteilt,teilte,teile,teilt,haben
sicherstellen,stelle sicher,stellst sicher,stellt sicher,stellte sicher,sichergestellt,stellte sicher,stell sicher,stellt sicher,haben
kommen,komme,kommst,kommt,kam,gekommen,käme,komm,kommt,sein
schreien,schreie,schreist,schreit,schrie,geschrien,schrie,schreie,schreit,haben
keifen,keife,keifst,keift,keifte,gekeift,keifte,keif,keift,haben
keppeln,kepple,keppelst,keppelt,keppelte,gekeppelt,keppelte,kepple,keppelt,haben
nörgeln,nörgle,nörgelst,nörgelt,nörgelte,genörgelt,nörgelte,nörgle,nörgelt,haben
raunzen,raunze,raunzt,raunzt,raunzte,geraunzt,raunzte,raunz,raunzt,haben
meckern,meckre,meckerst,meckert,meckerte,gemeckert,meckerte,meckre,meckert,haben
